discussion_topic_id,discussion_topic_title,discussion_topic_message_length,Content Volume,Student Participation,Total Posts,Total Likes
0083641e2e8cf92a45d209350b12f797,Discussion 7: eLearning planning at your institution?,1505,106972,28,77,11
0a31f2efd159230560dab31d27756fb1,Discussion 11: Reflections on eLearning implementation strategies,422,103490,24,96,13
132f3fab56d60839d727b966a76c1b1e,Assignment 1 Discussion forum,79,3316,5,6,0
132f3fab56d60839d727b966a76c1b1e,Assignment 1 Discussion forum,264,3521,7,14,2
1b4199b940079ccb8dc5f404b9324e43,Discussion 5: Learner readiness for eLearning in the new era,783,104291,28,88,13
38da9c46ca05b04b0b0335af760c3bdd,Discussion 4: Examples of faculty development for eLearning readiness,1398,111901,29,110,20
3bc2d8a4ae8dfa21b926bc34599560e2,Q&A with Guest Speaker,332,7897,10,10,0
449cbcaffb247e04fa8151f487926aab,Discussion 12: Analysis and comparison of approaches to eLearning ,388,41000,20,35,5
4a5f8d361306c7c9c0ea2c6edd2058f8,Discussion 8: Critical reflection on some institutional strategic plans,880,75131,25,69,8
74d57e9d2bfa697878ac88bca9170c78,Discussion 6: Organization & support,1284,158679,30,104,10
77db8e17563955af14dd1bea5d82a703,Discussion 10: Reflections on eLearning readiness,546,84331,27,82,21
7c9e39571ad00fe24282e5b5366d7563,Discussion 2: Reflect on rationales for eLearning,711,175279,33,124,23
9ef7d7e62a0117e6fca291f4ce0a00c2,Discussion 9: Aligning institutional plans with government policies,462,92125,29,53,14
a475fae949c627a4125abbfcf0faeaa8,Casual Area,223,11390,11,23,15
bb62cd396b9a8a94ecef6b5d1c4f8ad1,Discussion 3: Funding issues,1585,168669,32,107,21
c916612763c04832d8e7b9e89deb7d2a,Discussion 1: The meaning of eLearning,1369,198962,35,130,17
e1f90c16c123e0f96b2af7d94a1c335c,Introduce yourself,611,124777,41,229,76
