Student,Assignment 1 (c81f04547a95da2a7b88054ef491b7c4),Assignment 2 (a4dc11e7e79361fc5886a9078aac66b8),Assignment 3 (option A) (811d93ea379b5cdd5a19f1b5dbab88cd),Assignment 3 (option B) (df8d1f1ff3f48fdc24a278b40c5f45cc),Assignment 3 (option C) (bb971b36c1578cede00150acda89aa99),Assignment 3 (option D) (f1ad954cd2cddda6e17f6fc225d1aa3e),Participation grade: Formative (not included in final grade) (5965e0b0c712861d0efdd9be54572114),Assignment 1 Current Score,Assignment 2 Current Score,Assignment 3 Current Score,Participation & engagement Current Score,Current Score,Discussions Participated In,Total Posts,Content Volume,Total Likes,Last Activity Time,Total Activity Time,Total Activity Time (Hrs)
LEARNER_4,88,76,75,,,,10,88,76,75,100,82.9,14.0,111.0,99054.0,18.0,2033-05-08 08:56:27+00:00,675638,188.0
LEARNER_10,88,72,74,,,,8.5,88,72,74,85,78.4,15.0,57.0,60378.0,17.0,2033-04-27 05:55:39+00:00,421763,117.0
LEARNER_34,90,78,73,,,,9,90,78,73,90,81.3,13.0,28.0,41271.0,2.0,2033-05-08 12:53:05+00:00,604326,168.0
LEARNER_16,88,71,,,77,,10,88,71,77,100,82,15.0,51.0,87921.0,10.0,2033-05-30 08:44:23+00:00,586198,163.0
LEARNER_7,92,83,,,80,,10,92,83,80,100,87.3,15.0,88.0,78342.0,26.0,2033-04-27 06:25:33+00:00,2025102,563.0
LEARNER_30,77,89,,,74,,7,77,89,74,70,78.3,12.0,34.0,47094.0,8.0,2033-05-10 01:39:35+00:00,1371523,381.0
LEARNER_15,90,79,75,,,,6,90,79,75,60,76.2,11.0,16.0,22457.0,2.0,2033-04-27 12:43:48+00:00,113652,32.0
LEARNER_19,90,83,,,81,,9,90,83,81,90,85.2,14.0,53.0,51260.0,6.0,2033-06-07 06:28:07+00:00,246997,69.0
LEARNER_36,56,84,75,,,,6,56,84,75,60,70.9,8.0,11.0,23335.0,0.0,2033-06-02 11:47:20+00:00,135518,38.0
LEARNER_8,90,88,74,,,,8.5,90,88,74,85,83.6,11.0,29.0,35832.0,8.0,2033-04-28 04:21:40+00:00,1036998,288.0
LEARNER_20,82,82,59,,,,5.5,82,82,59,55,69.7,10.0,22.0,20719.0,1.0,2033-05-18 01:43:47+00:00,201541,56.0
LEARNER_13,88,86,87,,,,8,88,86,87,80,85.5,15.0,41.0,44122.0,9.0,2033-06-05 14:42:45+00:00,774430,215.0
LEARNER_37,94,82,83,,,,7,94,82,83,70,82.3,13.0,22.0,45262.0,3.0,2033-05-05 13:00:26+00:00,862185,239.0
LEARNER_17,80,65,74,,,,4,80,65,74,40,65.7,5.0,17.0,15135.0,1.0,2033-05-13 09:15:31+00:00,1015778,282.0
LEARNER_23,91,87,83,,,,10,91,87,83,100,89.2,13.0,56.0,56942.0,22.0,2033-04-29 09:59:40+00:00,698439,194.0
LEARNER_14,95,92,,86,,,6,95,92,86,60,84.4,13.0,25.0,61461.0,1.0,2033-04-27 14:18:30+00:00,155823,43.0
LEARNER_21,71,87,84,,,,6.5,71,87,84,65,78.5,11.0,15.0,34659.0,1.0,2033-05-06 05:19:45+00:00,523262,145.0
LEARNER_29,89,90,83,,,,8,89,90,83,80,85.7,12.0,41.0,50799.0,8.0,2033-09-08 04:13:52+00:00,1575148,438.0
LEARNER_35,92,72,,77,,,8,92,72,77,80,79.1,10.0,22.0,39814.0,7.0,2033-04-24 10:33:50+00:00,209140,58.0
LEARNER_11,90,79,,,82,,9,90,79,82,90,84.3,13.0,32.0,40861.0,5.0,2033-05-15 00:38:06+00:00,285214,79.0
LEARNER_24,95,90,,,78,,8.5,95,90,78,85,86.4,14.0,25.0,32746.0,14.0,2033-04-28 01:17:26+00:00,601686,167.0
LEARNER_1,79,84,,,73,,9,79,84,73,90,80.9,10.0,14.0,33617.0,3.0,2033-05-26 03:10:40+00:00,985351,274.0
LEARNER_31,78,84,77,,,,7,78,84,77,70,77.9,14.0,26.0,31634.0,7.0,2033-04-26 16:31:35+00:00,1011355,281.0
LEARNER_6,94,94,,84,,,10,94,94,84,100,92.2,16.0,166.0,128557.0,24.0,2033-05-10 10:22:54+00:00,426200,118.0
LEARNER_2,93,85,,,,95,6,93,85,95,60,84.6,12.0,31.0,32704.0,9.0,2033-09-15 13:24:28+00:00,152876,42.0
LEARNER_12,86,87,,,73,,8,86,87,73,80,81.2,12.0,20.0,22838.0,4.0,2033-05-25 18:43:44+00:00,176035,49.0
LEARNER_3,94,92,,,82,,9,94,92,82,90,89,15.0,50.0,39331.0,10.0,2033-04-27 00:46:59+00:00,209706,58.0
LEARNER_48,69,,,,,,,69,,,,13.8,,,,,2033-02-15 12:45:26+00:00,0,0.0
LEARNER_33,79,87,,,74,,4,79,87,74,40,72.1,3.0,9.0,7047.0,0.0,2033-05-23 12:27:11+00:00,547149,152.0
LEARNER_27,84,85,69,,,,5,84,85,69,50,73,5.0,18.0,24829.0,2.0,2033-05-28 07:56:41+00:00,437181,121.0
LEARNER_25,93,88,81,,,,9,93,88,81,90,87.3,12.0,39.0,25090.0,8.0,2033-05-22 07:37:21+00:00,110669,31.0
LEARNER_26,90,83,,,82,,10,90,83,82,100,87.5,9.0,33.0,42242.0,6.0,2033-04-26 19:39:25+00:00,254157,71.0
LEARNER_5,91,82,84,,,,10,91,82,84,100,88,14.0,64.0,89431.0,6.0,2033-05-27 04:17:06+00:00,177844,49.0
LEARNER_18,73,73,,,74,,5.5,73,73,74,55,69.7,13.0,30.0,37819.0,1.0,2033-05-13 12:40:02+00:00,190098,53.0
